Region_Code,Region_Name,Station_Name,Station_Local_Name,Display_Name,EPW_File,Latitude,Longitude,Altitude,HDD_base20,CDD_base26,HDD_degree_hours,CDD_degree_hours
PU,Apulia,Martina,Martina.Franca,ITA_PU_Martina.Apulia,ITA_PU_Martina.Franca.163180_TMYx.2011-2025.epw,40.6428,17.2061,415.0,1776.9750000000001,156.96666666666667,42647.4,3767.2
PU,Apulia,Otranto,Otranto,ITA_PU_Otranto.Apulia,ITA_PU_Otranto.163340_TMYx.2011-2025.epw,40.1108,18.5122,81.0,1333.8374999999999,116.27499999999999,32012.1,2790.6
PU,Apulia,Ramirez,Ramirez.AB,ITA_PU_Ramirez.Apulia,ITA_PU_Ramirez.AB.163120_TMYx.2011-2025.epw,40.7661,16.9353,351.9,2047.8583333333336,161.35833333333332,49148.600000000006,3872.6
PU,Apulia,S,S.Angelo.Mtn,ITA_PU_S.Apulia,ITA_PU_S.Angelo.Mtn.162580_TMYx.2011-2025.epw,41.7083,15.9478,848.0,1890.7,56.87083333333334,45376.8,1364.9
PU,Apulia,Salento-Brindisi,Salento-Brindisi.AP,ITA_PU_Salento-Brindisi.Apulia,ITA_PU_Salento-Brindisi.AP.163200_TMYx.2011-2025.epw,40.6578,17.9517,10.1,1449.1666666666667,102.73333333333333,34780.0,2465.6
PU,Apulia,Santa,Santa.Maria.di.Leuc,ITA_PU_Santa.Apulia,ITA_PU_Santa.Maria.di.Leuc.163600_TMYx.2011-2025.epw,39.8114,18.3422,112.0,1338.9,106.6875,32133.600000000002,2560.5
PU,Apulia,Taranto-Grottaglie,Taranto-Grottaglie.AP,ITA_PU_Taranto-Grottaglie.Apulia,ITA_PU_Taranto-Grottaglie.AP.163240_TMYx.2011-2025.epw,40.5172,17.3997,69.0,1502.3125,278.22499999999997,36055.5,6677.4
PU,Apulia,Vieste,Vieste,ITA_PU_Vieste.Apulia,ITA_PU_Vieste.162660_TMYx.2011-2025.epw,41.8881,16.1647,5.0,1426.2166666666665,105.20833333333333,34229.2,2525.0
SC,Sicily,Catania,Catania.Fontanarossa.AP,ITA_SC_Catania.Sicily,ITA_SC_Catania.Fontanarossa.AP.164600_TMYx.2011-2025.epw,37.4667,15.0639,17.0,1384.6791666666668,180.55000000000004,33232.3,4333.200000000001
SC,Sicily,Comiso,Comiso,ITA_SC_Comiso.Sicily,ITA_SC_Comiso.164750_TMYx.2011-2025.epw,36.983,14.617,210.0,1460.8333333333333,216.2208333333333,35060.0,5189.299999999999
SC,Sicily,Cozzo,Cozzo.Spadaro,ITA_SC_Cozzo.Sicily,ITA_SC_Cozzo.Spadaro.164800_TMYx.2011-2025.epw,36.6861,15.1314,51.0,995.9416666666666,146.22916666666666,23902.6,3509.5
SC,Sicily,Enna,Enna,ITA_SC_Enna.Sicily,ITA_SC_Enna.164500_TMYx.2011-2025.epw,37.5681,14.2797,1003.0,2201.0875,64.75416666666666,52826.100000000006,1554.1
SC,Sicily,Gela,Gela,ITA_SC_Gela.Sicily,ITA_SC_Gela.164530_TMYx.2011-2025.epw,37.0764,14.225,69.0,1107.8291666666667,71.39999999999999,26587.9,1713.6
SC,Sicily,Gibilmanna,Gibilmanna,ITA_SC_Gibilmanna.Sicily,ITA_SC_Gibilmanna.164420_TMYx.2011-2025.epw,37.9908,14.0269,999.0,1457.1125,24.237499999999997,34970.7,581.6999999999999
SC,Sicily,Isola,Isola.Stromboli,ITA_SC_Isola.Sicily,ITA_SC_Isola.Stromboli.164160_TMYx.2011-2025.epw,38.8025,15.2342,77.0,1039.55,74.9625,24949.2,1799.1000000000001
SC,Sicily,Lampedusa,Lampedusa.AP,ITA_SC_Lampedusa.Sicily,ITA_SC_Lampedusa.AP.164900_TMYx.2011-2025.epw,35.4981,12.6183,20.0,776.3125,100.79166666666667,18631.5,2419.0
SC,Sicily,Messina,Messina,ITA_SC_Messina.Sicily,ITA_SC_Messina.164200_TMYx.2011-2025.epw,38.1997,15.5489,54.1,1081.2041666666667,149.07916666666665,25948.899999999998,3577.8999999999996
SC,Sicily,Mezzo,Mezzo.Gregorio,ITA_SC_Mezzo.Sicily,ITA_SC_Mezzo.Gregorio.164650_TMYx.2011-2025.epw,36.9658,14.9578,640.0,1605.4583333333333,130.61250000000004,38531.0,3134.7000000000007
SC,Sicily,NAS,NAS.Signoella,ITA_SC_NAS.Sicily,ITA_SC_NAS.Signoella.164590_TMYx.2011-2025.epw,37.4056,14.9186,29.3,1429.4375,256.58750000000003,34306.5,6158.1
SC,Sicily,Palermo-Falcone,Palermo-Falcone.Borsellino.AP,ITA_SC_Palermo-Falcone.Sicily,ITA_SC_Palermo-Falcone.Borsellino.AP.164050_TMYx.2011-2025.epw,38.1819,13.0994,34.0,1051.2291666666667,128.54999999999998,25229.5,3085.2
